,Name,Postal_Code,Coordinates,Venue Type
3651,LOU YAU BEAN SPROUTS CHICKEN PTE. LTD.,098585,"[1.26389581240004, 103.821589247996]",Eating Establishment
3652,A-ONE F&B GROUP PTE. LTD.,098585,"[1.26389581240004, 103.821589247996]",Eating Establishment
3653,SHENG KEE DESSERT PTE. LTD.,098585,"[1.26389581240004, 103.821589247996]",Eating Establishment
3654,BREADTALK PTE LTD,099010,"[1.25200579229143, 103.81755421712]",Eating Establishment
3655,TAN BOON KIAN,098679,"[1.25329365704807, 103.819557559564]",Eating Establishment
3656,TWELVE CUPCAKES PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3657,GOWRI'S GLOBAL MARKETING PTE. LTD.,739522,"[1.43069359839388, 103.759237290643]",Eating Establishment
3658,ZULOS PTE. LTD.,120612,"[1.303442198537, 103.768633365525]",Eating Establishment
3659,NAKED FINN PRIVATE LIMITED,109454,"[1.27529709179575, 103.804191605577]",Eating Establishment
3660,THE WOK PEOPLE PTE. LTD.,637131,"[1.27941028664958, 103.625981712258]",Eating Establishment
3661,HONG AH MUI,102078,"[1.27363295987739, 103.808335234515]",Eating Establishment
3662,R E & S ENTERPRISES PTE LTD,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3663,FRESH BITES (PTE.) LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3664,THE KOREAN CUISINE PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3665,XIMEN INT'L FOOD PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3666,ITACHO BV PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3667,D&N SINGAPORE PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3668,TAI THAI PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3669,KOPI - O CONNOISSEUR PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3670,FUN TOAST STAR PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3671,GUAN CHEE HONG KONG ROASTED DUCK PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3672,Katijah Binte Ibrahim,637423,"[1.2931098682907, 103.643551698676]",Eating Establishment
3673,CANTON PARADISE PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3674,VERVE HOLDINGS PTE. LTD.,108936,"[1.27768597190501, 103.804010721982]",Eating Establishment
3675,QI JI BISTRO PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3676,TEN & HAN TRADING PTE LTD,099253,"[1.26379682885331, 103.820219045593]",Eating Establishment
3677,AWFULLY CHOCOLATE PTE LTD,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3678,TEN & HAN TRADING PTE LTD,609601,"[1.3346666186285, 103.74695659203]",Eating Establishment
3679,MFM RESTAURANTS PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3680,TEXAS CHICKEN (SINGAPORE) PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3681,NC FOOD CONCEPTS PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3682,EIGHTEEN CHEFS PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3683,KAGETSU RAMEN PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3684,BROTZEIT PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3685,NINE F&B PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3686,BEE CHENG HIANG STAR PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3687,SOGURT PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3688,TIMBRE MUSIC PTE. LTD.,108926,"[1.27835737307574, 103.803970502372]",Eating Establishment
3689,MEXICAN FOOD CORP SV PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3690,FOUR LEAVES PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3691,SWISS-BAKE PTE. LTD.,138639,"[1.30540765569962, 103.788446680148]",Eating Establishment
3692,COLD STORAGE SINGAPORE (1983) PTE LTD,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3693,TOMMY CHAN CHANG YUEN,628555,"[1.31268123160606, 103.695041980435]",Eating Establishment
3694,GREENDOT VISTA PTE LTD,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3695,BLACKBALL STAR VISTA PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3696,TANA DEVELOPMENT (SINGAPORE) PTE. LTD,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3697,WATAMI FOOD SERVICE SINGAPORE PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3698,BACHMANN JAPANESE RESTAURANT PTE LTD,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3699,PRO*3 INSTITUTIONAL CATERING PTE. LTD.,637141,"[1.35562483183945, 103.69223749261]",Eating Establishment
3700,FIN JONE RESTAURANT & BAR PTE LTD,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3701,TRUE FORTUNE PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3702,FINE GOURMET PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3703,GRAND APPETITE PARTNERS PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3704,BACCARAT INTERNATIONAL (PTE.) LIMITED,098585,"[1.26389581240004, 103.821589247996]",Eating Establishment
3705,TAN BOON HAI,649846,"[1.33849328515951, 103.705845404968]",Eating Establishment
3706,THOMSON CATERING PTE. LTD.,627610,"[1.27754537773703, 103.666738559227]",Eating Establishment
3707,A-ONE F&B GROUP PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3708,LAI SHOU YAN,699008,"[1.38190264751773, 103.726142630445]",Eating Establishment
3709,SODEXO SINGAPORE PTE. LTD.,139299,"[1.29727678903445, 103.79284733273]",Eating Establishment
3710,QUAICH@RWS PTE. LTD.,098138,"[1.25695118147305, 103.820121494025]",Eating Establishment
3711,THE DINING NOOK LLP,598123,"[1.340855783603, 103.77313936698]",Eating Establishment
3712,THE WOK PEOPLE PTE. LTD.,629860,"[1.32025527854617, 103.685626686487]",Eating Establishment
3713,NANDO'S CHICKENLAND SINGAPORE PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3714,COMPASS GROUP (SINGAPORE) PTE. LTD.,138613,"[1.30786795470428, 103.773233860492]",Eating Establishment
3715,COLD STORAGE SINGAPORE (1983) PTE LTD,119074,"[1.29348864960673, 103.782736313441]",Eating Establishment
3716,KOW YONG LONG,650413,"[1.36356572674155, 103.746596967526]",Eating Establishment
3717,SHIN-SAPPORO RAMEN PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3718,ORIGINAL HOCK LAM STREET BEEF KWAY TEOW PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3719,COLD STORAGE SINGAPORE (1983) PTE LTD,129588,"[1.31555354277949, 103.764596439304]",Eating Establishment
3720,FU CHUNXIN,680141,"[1.38041161319004, 103.75257991701]",Eating Establishment
3721,MSJ GOURMET GROUP PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3722,FRESH BITES (PTE.) LTD.,138647,"[1.29972702079326, 103.787478063884]",Eating Establishment
3723,KOUFU PTE LTD,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3724,S CAPITAL PTE. LTD.,637548,"[1.31509320132468, 103.631752524628]",Eating Establishment
3725,PONTIAN STAR PTE. LTD.,138617,"[1.30688972960252, 103.788506619352]",Eating Establishment
3726,O BREAD 2 PTE. LTD.,640221,"[1.34639604683977, 103.712387709421]",Eating Establishment
3727,KONNICHIWA SUSHI PTE. LTD.,608548,"[1.33302195013258, 103.741943039605]",Eating Establishment
3728,KHUN THAI PTE. LTD.,608548,"[1.33302195013258, 103.741943039605]",Eating Establishment
3729,JE F&B PTE. LTD.,608548,"[1.33302195013258, 103.741943039605]",Eating Establishment
3730,RSJ PTE. LTD.,689812,"[1.38506836476439, 103.744950378814]",Eating Establishment
3731,RESORTS WORLD AT SENTOSA PTE. LTD.,098136,"[1.25853379870347, 103.817829969201]",Eating Establishment
3732,HO HENG FOOD & ENTERPRISE PTE LTD,127371,"[1.30374258287197, 103.766092882107]",Eating Establishment
3733,NIWA SUSHI PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3734,EASTERN RICE DUMPLING PTE. LTD.,129588,"[1.31555354277949, 103.764596439304]",Eating Establishment
3735,K N R PTE. LTD.,138639,"[1.30540765569962, 103.788446680148]",Eating Establishment
3736,ZHENG WAN LING,650505,"[1.35191995209035, 103.753670851157]",Eating Establishment
3737,FOODTHREE PTE. LTD.,648331,"[1.33931504032005, 103.705350996191]",Eating Establishment
3738,LEE GEOK ENG,139651,"[1.31087323423706, 103.777439826564]",Eating Establishment
3739,ATMOSPHERE BISTRO PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3740,CAFE @ PHOENIX PTE. LTD.,588190,"[1.34914222042395, 103.770688202499]",Eating Establishment
3741,ISS CATERING SERVICES PTE. LTD.,903808,"[1.23559615341257, 103.768645291981]",Eating Establishment
3742,COCA INTERNATIONAL SINGAPORE CO PTE. LTD.,098138,"[1.25695118147305, 103.820121494025]",Eating Establishment
3743,BREADTALK PTE LTD,099253,"[1.26379682885331, 103.820219045593]",Eating Establishment
3744,MOS FOODS SINGAPORE PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3745,MONKEY BUSINESS CONCEPTS PTE LTD,118544,"[1.27610048642745, 103.793238441215]",Eating Establishment
3746,VANILLA PASTRY AND BAKERY PTE. LTD,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3747,LEE WON PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3748,TAN TECK PENG,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3749,ZDY INTL GROUP PTE. LTD.,098138,"[1.25695118147305, 103.820121494025]",Eating Establishment
3750,ALVIN SABAI,649809,"[1.35048483150774, 103.713459069456]",Eating Establishment
3751,AUNTIE KIM'S KOREAN RESTAURANT PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3752,JURONG SHIPYARD MULTI-PURPOSE CO-OPERATIVE SOCIETY LTD,628052,"[1.30397170523523, 103.703065143117]",Eating Establishment
3753,TAN BOON HAI,129581,"[1.31421090199895, 103.765144799558]",Eating Establishment
3754,FEI SIONG FOOD MANAGEMENT PTE LTD,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3755,8&W EATING HOUSE PTE. LTD,628560,"[1.31459888618988, 103.695285111198]",Eating Establishment
3756,RESORTS WORLD AT SENTOSA PTE. LTD.,098134,"[1.25853136085326, 103.816016750545]",Eating Establishment
3757,MFM RESTAURANTS PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3758,SHAW CONCESSIONS PTE LTD,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3759,OTK SINGAPORE PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3760,KOREA FOOD UNITED PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3761,GRABFOOD PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3762,SENTOSA LEISURE MANAGEMENT PTE LTD,098234,"[1.25052687528171, 103.8198792081]",Eating Establishment
3763,UC CONCEPT INTERNATIONAL PRIVATE LIMITED,648331,"[1.33931504032005, 103.705350996191]",Eating Establishment
3764,SF (JURONG) PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3765,KEN SENG GUAN,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3766,ITACHO PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3767,UC CONCEPT INTERNATIONAL PRIVATE LIMITED,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3768,MOST PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3769,HOREB F&B PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3770,STARBUCKS COFFEE SINGAPORE PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3771,ASTON FOOD & BEVERAGE SPECIALITIES PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3772,NANDO'S CHICKENLAND SINGAPORE PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3773,THE GOOD TRIO PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3774,COFFEE HIVE PTE. LTD.,609081,"[1.33278381025739, 103.735960789953]",Eating Establishment
3775,SAPPORO LION (S) PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3776,KENTUCKY FRIED CHICKEN MANAGEMENT PTE LTD,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3777,COLD STORAGE SINGAPORE (1983) PTE LTD,129580,"[1.31522520298522, 103.76516855199]",Eating Establishment
3778,COPITIAM PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3779,MINOR FOOD GROUP (SINGAPORE) PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3780,OKG EXPRESS (PTE.) LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3781,SUNMOULIN YAMAZAKI SINGAPORE PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3782,MC GROUP PTE. LTD.,098585,"[1.26389581240004, 103.821589247996]",Eating Establishment
3783,MCDONALD'S RESTAURANTS PTE. LTD.,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3784,CHICKEN UP JURONG PTE. LTD,609690,"[1.33329506563598, 103.742153884191]",Eating Establishment
3785,CREATIVE EATERIES PTE LTD,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3786,SAKAE KYO PTE. LTD,609731,"[1.33323785085838, 103.740191321438]",Eating Establishment
3787,TONGLE FOOD & BEVERAGE PTE. LTD.,648331,"[1.33931504032005, 103.705350996191]",Eating Establishment
3788,SMILING ORCHID (SINGAPORE) PRIVATE LIMITED,270025,"[1.3081474688469, 103.786255228477]",Eating Establishment
3789,KOPITIAM INVESTMENT PTE LTD,609690,"[1.33329506563598, 103.742153884191]",Eating Establishment
3790,HAPPY WILLOW PTE. LTD.,138632,"[1.29951528532019, 103.787639846851]",Eating Establishment
3791,BAIDU BARBEQUE PTE. LTD.,609690,"[1.33329506563598, 103.742153884191]",Eating Establishment
3792,HONG YUN CATERING SERVICES PTE. LTD.,119579,"[1.28002308936925, 103.801273722094]",Eating Establishment
3793,ISS CATERING SERVICES PTE. LTD.,119278,"[1.29985122374074, 103.77375361287]",Eating Establishment
3794,EATALIA PTE. LTD.,129741,"[1.29254355139457, 103.768405871853]",Eating Establishment
3795,KENTUCKY FRIED CHICKEN MANAGEMENT PTE LTD,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3796,ASHLEY VSH PTE. LTD,119618,"[1.29159264991826, 103.775351597204]",Eating Establishment
3797,BARCOOK BAKERY PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3798,CHENG & CHENG TRADING FAR EAST (SINGAPORE) LLP,129754,"[1.29308292249502, 103.768811035791]",Eating Establishment
3799,MR BEAN INTERNATIONAL PTE. LTD.,119074,"[1.29348864960673, 103.782736313441]",Eating Establishment
3800,FRONTIER PRIMARY SCHOOL,648200,"[1.33664312205755, 103.699682811847]",Eating Establishment
3801,RESORTS WORLD AT SENTOSA PTE. LTD.,098133,"[1.25745547216994, 103.817027622961]",Eating Establishment
3802,CALIBER HOTELS PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3803,THE HAPPY ROOTS PTE. LTD,138637,"[1.30535121238071, 103.788347370864]",Eating Establishment
3804,AMINO GROUP PTE. LTD.,138632,"[1.29951528532019, 103.787639846851]",Eating Establishment
3805,NTUC FOODFARE CO-OPERATIVE LTD,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3806,BURGER KING SINGAPORE PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3807,MOHAMED RAFI BIN ABDUL MUTHALIFF,120501,"[1.31231254760543, 103.759312529215]",Eating Establishment
3808,RYETALYN CORP PRIVATE LIMITED,640762,"[1.34874164662883, 103.69773963001]",Eating Establishment
3809,LEE QUAN (HAI ZHONG BAO) PTE. LTD.,270025,"[1.3081474688469, 103.786255228477]",Eating Establishment
3810,THE SOUP SPOON PTE LTD,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3811,WAN HO KEUNG,640504,"[1.34982761313556, 103.718843750842]",Eating Establishment
3812,PAPA BEANS CAFE LLP,119968,"[1.27738945595844, 103.799443153902]",Eating Establishment
3813,URBAN FRESH PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3814,Z T P GINSENG BIRDNEST PTE LTD,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3815,13 TUAS FOOD SHOP PTE. LTD.,639137,"[1.33139784971463, 103.647589358422]",Eating Establishment
3816,NATURAL GRAIN PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3817,TAN SIEW HOON,117599,"[1.29514416794656, 103.781185628066]",Eating Establishment
3818,PNC CAFE HOLDINGS PTE. LTD,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3819,MUSA BIN MOHAMMED,120441,"[1.31500833186914, 103.764197847511]",Eating Establishment
3820,VEERA PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3821,THE ORANGE LANTERN VIETNAMESE RESTAURANT PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3822,"ROCHE SINGAPORE TECHNICAL OPERATIONS, PTE. LTD.",637394,"[1.2972801707618, 103.641390456864]",Eating Establishment
3823,ROYAL ONE PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3824,TAN BOON HAI,609690,"[1.33329506563598, 103.742153884191]",Eating Establishment
3825,JTT 3 PTE. LTD.,609690,"[1.33329506563598, 103.742153884191]",Eating Establishment
3826,MR BEAN INTERNATIONAL PTE. LTD.,138647,"[1.29972702079326, 103.787478063884]",Eating Establishment
3827,LKH TAVERN (PTE.) LTD.,139311,"[1.29431403318735, 103.795998639475]",Eating Establishment
3828,BUSINESS PINNACLE CONSULTANTS PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3829,AJMIR STORE PTE. LTD.,609690,"[1.33329506563598, 103.742153884191]",Eating Establishment
3830,JOJERIE PTE. LTD.,120352,"[1.31427265951788, 103.771360860916]",Eating Establishment
3831,SPINELLI PTE LTD,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3832,ZULKIFLI BIN MOHD DALI,127728,"[1.31854121399817, 103.754055186446]",Eating Establishment
3833,JUZ BREAD HOLDING PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3834,ROYAL T GROUP PTE. LTD.,659083,"[1.35873020505421, 103.751912957251]",Eating Establishment
3835,CAT BAKER PTE. LTD.,640964,"[1.34201095788089, 103.692663279838]",Eating Establishment
3836,MCDONALD'S RESTAURANTS PTE. LTD.,120441,"[1.31500833186914, 103.764197847511]",Eating Establishment
3837,TEA MANSION PRIVATE LIMITED,689578,"[1.39730190912669, 103.746558067665]",Eating Establishment
3838,KOPITIAM INVESTMENT PTE LTD,680624,"[1.3977814000738, 103.74697404926]",Eating Establishment
3839,MONIKA,120441,"[1.31500833186914, 103.764197847511]",Eating Establishment
3840,COLD STORAGE SINGAPORE (1983) PTE LTD,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3841,THE WOK PEOPLE PTE. LTD.,628260,"[1.29012463967714, 103.71324832038]",Eating Establishment
3842,ROCHESTER CAFE PTE. LTD.,138639,"[1.30540765569962, 103.788446680148]",Eating Establishment
3843,THE BAKING KITCHEN PTE. LTD.,138639,"[1.30540765569962, 103.788446680148]",Eating Establishment
3844,ULTRA BAKE PTE. LTD.,600135,"[1.333825407445, 103.739676885744]",Eating Establishment
3845,MCDONALD'S RESTAURANTS PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3846,DRIL-QUIP ASIA PACIFIC PTE LTD,638417,"[1.3241684724474, 103.631471142744]",Eating Establishment
3847,SHOPPING BAG (S) PTE. LTD.,098137,"[1.25822414009077, 103.820595283603]",Eating Establishment
3848,LEE SEY LENG,138647,"[1.29972702079326, 103.787478063884]",Eating Establishment
3849,IRYANTI BINTE SAPI'I,640442,"[1.35151847519437, 103.719496480131]",Eating Establishment
3850,RICK'S F&B VENTURES PTE. LTD.,138639,"[1.30540765569962, 103.788446680148]",Eating Establishment
3851,LIM ENG KOON,680624,"[1.3977814000738, 103.74697404926]",Eating Establishment
3852,PU TIEN RESTAURANT PTE LTD,098138,"[1.25695118147305, 103.820121494025]",Eating Establishment
3853,THE LAWN HOLDINGS PTE. LTD.,138669,"[1.30421999201075, 103.79252804816]",Eating Establishment
3854,OLD STREET BAK KUT TEH (HM) PTE. LTD.,119963,"[1.27369890868001, 103.801277776077]",Eating Establishment
3855,MR BEAN INTERNATIONAL PTE. LTD.,609690,"[1.33329506563598, 103.742153884191]",Eating Establishment
3856,NATIONAL TRANSPORT WORKERS' UNION?,120441,"[1.31500833186914, 103.764197847511]",Eating Establishment
3857,YI SIN BAKERY PTE. LTD.,651395,"[1.36448974299463, 103.751987145985]",Eating Establishment
3858,LHN CULINARY CONCEPTS PTE. LTD.,109178,"[1.27886869072542, 103.813195632197]",Eating Establishment
3859,HENG YONG CHENG,658064,"[1.33892734037127, 103.759168178259]",Eating Establishment
3860,HOE SOON TECK,637328,"[1.31878041527957, 103.62910078978]",Eating Establishment
3861,NEO AIK KEONG,640762,"[1.34874164662883, 103.69773963001]",Eating Establishment
3862,SO NICE PTE. LTD.,648886,"[1.3394520043632, 103.706685012926]",Eating Establishment
3863,DRINK TEA PTE. LTD.,609690,"[1.33329506563598, 103.742153884191]",Eating Establishment
3864,SRI GOVINDAVILAS RESTAURANT PTE. LTD,689474,"[1.37663383216919, 103.743988728791]",Eating Establishment
3865,FISH & CO. RESTAURANTS PTE. LTD.,098137,"[1.25822414009077, 103.820595283603]",Eating Establishment
3866,AMPERSAND FOOD RETAIL PTE. LTD.,648331,"[1.33931504032005, 103.705350996191]",Eating Establishment
3867,STARBUCKS COFFEE SINGAPORE PTE. LTD.,138640,"[1.30550746111985, 103.787763041491]",Eating Establishment
3868,SPH BUZZ PTE. LTD.,639798,"[1.34421841586272, 103.680152218583]",Eating Establishment
3869,COLD STORAGE SINGAPORE (1983) PTE LTD,098138,"[1.25695118147305, 103.820121494025]",Eating Establishment
3870,IMPERIAL TREASURE NOODLE HOUSE PTE. LTD.,098138,"[1.25695118147305, 103.820121494025]",Eating Establishment
3871,JUVAL (S) PTE. LTD.,138641,"[1.30574359803031, 103.787725511904]",Eating Establishment
3872,DOMINO'S PIZZA SINGAPORE PTE. LTD.,120505,"[1.31228054125456, 103.759981529056]",Eating Establishment
3873,QI JI RETAIL SERVICES PTE. LTD.,119074,"[1.29348864960673, 103.782736313441]",Eating Establishment
3874,DOUGHSHOP PTE. LTD.,689812,"[1.38506836476439, 103.744950378814]",Eating Establishment
3875,THE COFFEE BEAN & TEA LEAF (SINGAPORE) PTE LTD,119074,"[1.29348864960673, 103.782736313441]",Eating Establishment
3876,CAFE @ PHOENIX PTE. LTD.,639798,"[1.34421841586272, 103.680152218583]",Eating Establishment
3877,HAE BOK'S KOREAN RESTAURANT PTE LTD,138602,"[1.30399654877953, 103.774032940413]",Eating Establishment
3878,SODEXO SINGAPORE PTE. LTD.,649414,"[1.34569489816085, 103.727193103253]",Eating Establishment
3879,STAMFLES DINING CONCEPT PTE. LTD.,138682,"[1.30032426069145, 103.780877783369]",Eating Establishment
3880,PINES FOOD DELIGHT PTE. LTD.,138602,"[1.30399654877953, 103.774032940413]",Eating Establishment
3881,MARIAH BT A RAHMAN,619167,"[1.30824665721144, 103.710322728389]",Eating Establishment
3882,LIM YOCK CHEW,138628,"[1.29808940963066, 103.790058543638]",Eating Establishment
3883,EXTERRAN OFFSHORE PTE. LTD,629360,"[1.29902108765355, 103.669261110498]",Eating Establishment
3884,MEGA DEVELOPMENT & TRADING PTE LTD,138602,"[1.30399654877953, 103.774032940413]",Eating Establishment
3885,DAISY'S DREAM KITCHEN PTE. LTD,120517,"[1.30747684361156, 103.760157277816]",Eating Establishment
3886,LABRADOR HILL PTE. LTD.,119189,"[1.26816091834981, 103.800427019238]",Eating Establishment
3887,SINGAPORE SAIZERIYA PTE. LTD.,588996,"[1.33865677622928, 103.778560467143]",Eating Establishment
3888,SHAMIRA SHARIN BINTE MOHAMED AMEEN,118779,"[1.29240058070833, 103.768383477356]",Eating Establishment
3889,EASTERN RICE DUMPLING PTE. LTD.,689578,"[1.39730190912669, 103.746558067665]",Eating Establishment
3890,"LIM TSE KHIAN, ALVIN",138628,"[1.29808940963066, 103.790058543638]",Eating Establishment
3891,NIWA SUSHI PTE. LTD.,659083,"[1.35873020505421, 103.751912957251]",Eating Establishment
3892,SUBS UT PTE. LTD,138602,"[1.30399654877953, 103.774032940413]",Eating Establishment
3893,ONG HOCK CHENG,650537,"[1.35511516448647, 103.750877888291]",Eating Establishment
3894,SUPREME F & B PTE. LTD,650374,"[1.35798291106742, 103.750736425731]",Eating Establishment
3895,DOMINO'S PIZZA SINGAPORE PTE. LTD.,649520,"[1.35055603902827, 103.725341552003]",Eating Establishment
3896,LIMSHI PTE. LTD.,658064,"[1.33892734037127, 103.759168178259]",Eating Establishment
3897,PICKLEDELI CAFE (PTE. LTD.),138628,"[1.29808940963066, 103.790058543638]",Eating Establishment
3898,STARBUCKS COFFEE SINGAPORE PTE. LTD.,138608,"[1.30547903926184, 103.773230602745]",Eating Establishment
3899,LI YUAN HERBAL TEA LIMITED LIABILITY PARTNERSHIP,640498,"[1.34833335760515, 103.724307319237]",Eating Establishment
3900,COLD STORAGE SINGAPORE (1983) PTE LTD,643988,"[1.33574398654101, 103.6957768604]",Eating Establishment
3901,PIZZA HUT SINGAPORE PTE LTD,649882,"[1.34837562344012, 103.711418897324]",Eating Establishment
3902,HANOI PHO F&B PTE. LTD.,118511,"[1.27484783486942, 103.79528789973]",Eating Establishment
3903,OH CHEE BENG (HU ZHIMING),658064,"[1.33892734037127, 103.759168178259]",Eating Establishment
3904,KING COFFEE HOUSE PTE. LTD.,608537,"[1.31800211513684, 103.731982921138]",Eating Establishment
3905,KOUFU PTE LTD,138602,"[1.30399654877953, 103.774032940413]",Eating Establishment
3906,JIMMY MONKEY PTE. LTD.,138643,"[1.30173334500406, 103.790000928613]",Eating Establishment
3907,CHEERS HOLDINGS (2004) PTE. LTD.,138602,"[1.30399654877953, 103.774032940413]",Eating Establishment
3908,BLUE MAGNOLIA PATISSERIE PTE. LTD.,588996,"[1.33865677622928, 103.778560467143]",Eating Establishment
3909,ROYAL T GROUP PTE. LTD.,127371,"[1.30374258287197, 103.766092882107]",Eating Establishment
3910,SUNTEC FOOD & LEISURE PTE LTD,129588,"[1.31555354277949, 103.764596439304]",Eating Establishment
